Name,latitude,longitude,Province
Abbotsford,49.052222,-122.329167,British Columbia
Airdrie,51.2922222,-114.0141667,Alberta
Armstrong,50.448333,-119.196667,British Columbia
Barrie,44.37124,-79.67697,Ontario
Bathurst,47.626111,-65.628333,New Brunswick
Belleville,44.2566666,-77.3697222,Ontario
Brampton,43.6883334,-79.7608333,Ontario
Brandon,49.846944,-99.952222,Manitoba
Brantford,43.1569444,-80.2575,Ontario
Brockville,44.59733,-75.6855,Ontario
Brooks,50.567222,-111.895,Alberta
Burlington,43.37006,-79.81403,Ontario
Burnaby,49.242778,-122.972778,British Columbia
Calgary,51.0458333,-114.0574999,Alberta
Cambridge,43.397222,-80.311389,Ontario
Campbell River,50.023056,-125.243611,British Columbia
Campbellton,47.999336,-66.683511,New Brunswick
Camrose,53.0247222,-112.8241667,Alberta
Castlegar,49.324444,-117.666944,British Columbia
Charlottetown,46.240278,-63.134722,Prince Edward Island
Chatham-Kent,42.43396,-82.12876,Ontario
Chilliwack,49.157778,-121.950833,British Columbia
Clarence-Rockland,45.48809,-75.21489,Ontario
Cold Lake,54.45,-110.1666667,Alberta
Colwood,48.423611,-123.493333,British Columbia
Coquitlam,49.284167,-122.793611,British Columbia
Corner Brook,48.941111,-57.970278,Newfoundland and Labrador
Cornwall,45.0263889,-74.7263889,Ontario
County of Brant,43.1391667,-80.2813889,Ontario
Courtenay,49.689444,-124.995833,British Columbia
Cranbrook,49.508056,-115.746944,British Columbia
Dauphin,51.149444,-100.04944,Manitoba
Dawson Creek,55.760556,-120.235556,British Columbia
Dieppe,46.078333,-64.688611,New Brunswick
Dryden,49.7833333,-92.7652777,Ontario
Duncan,48.778611,-123.708056,British Columbia
Edmonton,53.5344445,-113.4902778,Alberta
Edmundston,47.377222,-68.294444,New Brunswick
Elliot Lake,46.3811111,-82.6572222,Ontario
Enderby,50.550556,-119.139444,British Columbia
Estevan,49.1392833,-102.9859847,Saskatchewan
Fernie,49.504167,-115.062778,British Columbia
Flin Flon,54.768056,-101.8641699,Manitoba
Fort Saskatchewan,53.7111111,-113.2177778,Alberta
Fort St. John,56.2525,-120.846667,British Columbia
Fredericton,45.945278,-66.666667,New Brunswick
Grand Forks,49.031111,-118.439167,British Columbia
Grand Sudbury,46.57789,-81.06958,Ontario
Grande Prairie,55.1708334,-118.7961111,Alberta
Greater Sudbury,46.57789,-81.06958,Ontario
Greenwood,49.088333,-118.676389,British Columbia
Guelph,43.53571,-80.229,Ontario
Hamilton,43.242778,-79.989444,Ontario
Humboldt,52.2019155,-105.1229806,Saskatchewan
Iqaluit,63.75,-68.516667,Nunavut
Kamloops,50.675833,-120.339444,British Columbia
Kawartha Lakes,44.58758,-78.8321,Ontario
Kelowna,49.888056,-119.495556,British Columbia
Kenora,49.8161111,-94.435,Ontario
Kimberley,49.685,-115.981667,British Columbia
Kingston,44.3066667,-76.4163888,Ontario
Kitchener,43.4186111,-80.4727778,Ontario
Lacombe,52.464444,-113.734167,Alberta
Lambton Shores,43.17534,-81.89542,Ontario
Langford,48.449722,-123.504444,British Columbia
Langley,49.1025,-122.658056,British Columbia
Leduc,53.2666666,-113.5458333,Alberta
Lethbridge,49.6936111,-112.8419444,Alberta
Lloydminster,53.2779556,-109.9802528,Saskatchewan
Lloydminster,53.2838889,-110,Alberta
London,42.9675,-81.2325,Ontario
Maple Ridge,49.22,-122.598889,British Columbia
Martensville,52.2919249,-106.6524122,Saskatchewan
Meadow Lake,54.1241055,-108.4359051,Saskatchewan
Medicine Hat,50.0408334,-110.6766667,Alberta
Melfort,52.8563361,-104.6099722,Saskatchewan
Melville,50.9304306,-102.8078417,Saskatchewan
Merritt,50.1125,-120.788333,British Columbia
Miramichi,47.004167,-65.466667,New Brunswick
Mississauga,43.58566,-79.65711,Ontario
Moncton,46.099479,-64.799802,New Brunswick
Moose Jaw,50.3934194,-105.5519522,Saskatchewan
Mount Pearl,47.5195306,-52.8118056,Newfoundland and Labrador
Nanaimo,49.163889,-123.938056,British Columbia
Nelson,49.493333,-117.295833,British Columbia
New Westminster,49.206667,-122.910556,British Columbia
Niagara Falls,43.06012,-79.10671,Ontario
North Battleford,52.7574361,-108.2861667,Saskatchewan
North Bay,46.314444,-79.459167,Ontario
North Vancouver,49.320556,-123.073889,British Columbia
Orillia,44.6043,-79.42392,Ontario
Oshawa,43.9005555,-78.8572222,Ontario
Ottawa,45.33339,-75.58429,Ontario
Owen Sound,44.56981,-80.93067,Ontario
Parksville,49.318056,-124.311389,British Columbia
Pembroke,45.8205556,-77.1111111,Ontario
Penticton,49.500833,-119.593889,British Columbia
Peterborough,44.3011111,-78.3333334,Ontario
Pitt Meadows,49.220556,-122.690278,British Columbia
Port Alberni,49.234444,-124.805833,British Columbia
Port Colborne,42.9155556,-79.1930555,Ontario
Port Coquitlam,49.261944,-122.780278,British Columbia
Port Moody,49.282222,-122.829444,British Columbia
Portage la Prairie,49.972778,-98.291944,Manitoba
Powell River,49.835556,-124.524444,British Columbia
Prince Albert,53.2162056,-105.7148056,Saskatchewan
Prince Edward,44.0230555,-77.2558334,Ontario
Prince George,53.913056,-122.745278,British Columbia
Prince Rupert,54.312778,-130.325278,British Columbia
Quesnel,52.979722,-122.493611,British Columbia
Quinte West,44.1963888,-77.5819445,Ontario
Red Deer,52.2686111,-113.8102778,Alberta
Regina,50.4548389,-104.6066083,Saskatchewan
Revelstoke,50.998889,-118.195833,British Columbia
Richmond,49.163333,-123.163333,British Columbia
Rossland,49.076944,-117.802222,British Columbia
Saint John,45.259167,-66.038889,New Brunswick
Salmon Arm,50.701389,-119.278056,British Columbia
Sarnia,42.9813889,-82.3177777,Ontario
Saskatoon,52.13965,-106.6861833,Saskatchewan
Sault Ste. Marie,46.558889,-84.346944,Ontario
Selkirk,50.143611,-96.883889,Manitoba
Spruce Grove,53.5538889,-113.9022222,Alberta
St. Albert,53.6369444,-113.6202778,Alberta
St. Catharines,43.16544,-79.2533,Ontario
St. John's,47.482197,-52.797069,Newfoundland and Labrador
St. Thomas,42.7808333,-81.1855555,Ontario
Steinbach,49.525833,-96.683889,Manitoba
Stratford,43.3725,-80.9763889,Ontario
Summerside,46.395833,-63.788889,Prince Edward Island
Surrey,49.111667,-122.8275,British Columbia
Swift Current,50.2881611,-107.7938944,Saskatchewan
Temiskaming Shores,47.4936111,-79.7152778,Ontario
Terrace,54.516389,-128.599722,British Columbia
Thompson,55.743333,-97.855278,Manitoba
Thorold,43.0722222,-79.2233333,Ontario
Thunder Bay,48.4013889,-89.2677778,Ontario
Timmins,48.47153,-81.33132,Ontario
Toronto,43.7417,-79.3733,Ontario
Trail,49.094444,-117.709167,British Columbia
Vancouver,49.261111,-123.113889,British Columbia
Vaughan,43.85281,-79.5354,Ontario
Vernon,50.266667,-119.271667,British Columbia
Victoria,48.428333,-123.364722,British Columbia
Warman,52.3220721,-106.5841825,Saskatchewan
Waterloo,43.4797222,-80.5411111,Ontario
Welland,42.99712,-79.22497,Ontario
Wetaskiwin,52.9691667,-113.3769444,Alberta
Weyburn,49.6609833,-103.8526306,Saskatchewan
White Rock,49.023611,-122.798333,British Columbia
Whitehorse,60.6961111,-135.0808333,Yukon
Williams Lake,52.129167,-122.14,British Columbia
Windsor,42.30227,-82.99348,Ontario
Winkler,49.181667,-97.940278,Manitoba
Winnipeg,49.884444,-97.146389,Manitoba
Woodstock,43.1372222,-80.7377778,Ontario
Yellowknife,62.4536,-114.37,Northwest Territories
Yorkton,51.213775,-102.4628806,Saskatchewan
